parent_site,category_1,category_2,category_3,url_pg_1,url_pg_2
etsy,Bags and Purses,Food & Insulated Bags,Picnic Baskets & Bags,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/picnic-baskets-and-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/food-and-insulated-bags/picnic-baskets-and-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Sports Bags,,https://www.etsy.com/c/handmade/bags-and-purses/sports-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/sports-bags?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Hair Jewelry,https://www.etsy.com/c/handmade/jewelry/body-jewelry/hair-jewelry?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/hair-jewelry?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Anklets,https://www.etsy.com/c/handmade/jewelry/body-jewelry/anklets?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/anklets?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Nose Rings & Studs,https://www.etsy.com/c/handmade/jewelry/body-jewelry/nose-rings-and-studs?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/nose-rings-and-studs?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Gauge & Plug Earrings,https://www.etsy.com/c/handmade/jewelry/body-jewelry/gauge-and-plug-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/gauge-and-plug-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Belly Rings,https://www.etsy.com/c/handmade/jewelry/body-jewelry/belly-rings?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/belly-rings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Belly Chains,https://www.etsy.com/c/handmade/jewelry/body-jewelry/belly-chains?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/belly-chains?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Barbells,https://www.etsy.com/c/handmade/jewelry/body-jewelry/barbells?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/barbells?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Nipple Jewelry,https://www.etsy.com/c/handmade/jewelry/body-jewelry/nipple-jewelry?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/nipple-jewelry?explicit=1&ref=pagination&page=2
etsy,Jewelry,Body Jewelry,Toe Rings,https://www.etsy.com/c/handmade/jewelry/body-jewelry/toe-rings?explicit=1,https://www.etsy.com/c/handmade/jewelry/body-jewelry/toe-rings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Bracelets,Woven & Braided Bracelets,https://www.etsy.com/c/handmade/jewelry/bracelets/woven-and-braided-bracelets?explicit=1,https://www.etsy.com/c/handmade/jewelry/bracelets/woven-and-braided-bracelets?explicit=1&ref=pagination&page=2
etsy,Jewelry,Bracelets,Beaded Bracelets,https://www.etsy.com/c/handmade/jewelry/bracelets/beaded-bracelets?explicit=1,https://www.etsy.com/c/handmade/jewelry/bracelets/beaded-bracelets?explicit=1&ref=pagination&page=2
etsy,Jewelry,Bracelets,Charm Bracelets,https://www.etsy.com/c/handmade/jewelry/bracelets/charm-bracelets?explicit=1,https://www.etsy.com/c/handmade/jewelry/bracelets/charm-bracelets?explicit=1&ref=pagination&page=2
etsy,Jewelry,Bracelets,Cuff Bracelets,https://www.etsy.com/c/handmade/jewelry/bracelets/cuff-bracelets?explicit=1,https://www.etsy.com/c/handmade/jewelry/bracelets/cuff-bracelets?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Ear Jackets & Climbers,https://www.etsy.com/c/handmade/jewelry/earrings/ear-jackets-and-climbers?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/ear-jackets-and-climbers?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Dangle & Drop Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/dangle-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/dangle-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Stud Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/stud-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/stud-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Hoop Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/hoop-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/hoop-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Clip-On Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/clip-on-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/clip-on-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Chandelier Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/chandelier-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/chandelier-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Gauge & Plug Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/gauge-and-plug-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/gauge-and-plug-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Screw Back Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/screw-back-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/screw-back-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Earrings,Cuff & Wrap Earrings,https://www.etsy.com/c/handmade/jewelry/earrings/cuff-and-wrap-earrings?explicit=1,https://www.etsy.com/c/handmade/jewelry/earrings/cuff-and-wrap-earrings?explicit=1&ref=pagination&page=2
etsy,Jewelry,Necklaces,Pendants,https://www.etsy.com/c/handmade/jewelry/necklaces/pendants?explicit=1,https://www.etsy.com/c/handmade/jewelry/necklaces/pendants?explicit=1&ref=pagination&page=2
etsy,Jewelry,Necklaces,Beaded Necklaces,https://www.etsy.com/c/handmade/jewelry/necklaces/beaded-necklaces?explicit=1,https://www.etsy.com/c/handmade/jewelry/necklaces/beaded-necklaces?explicit=1&ref=pagination&page=2
etsy,Jewelry,Necklaces,Charm Necklaces,https://www.etsy.com/c/handmade/jewelry/necklaces/charm-necklaces?explicit=1,https://www.etsy.com/c/handmade/jewelry/necklaces/charm-necklaces?explicit=1&ref=pagination&page=2
etsy,Jewelry,Necklaces,Chokers,https://www.etsy.com/c/handmade/jewelry/necklaces/chokers?explicit=1,https://www.etsy.com/c/handmade/jewelry/necklaces/chokers?explicit=1&ref=pagination&page=2
